Model,Best Parameters,Best Cross-Validation Accuracy,Test Accuracy,Precision,Recall,F1-Score
Logistic Regression,"OrderedDict([('C', 0.0002393880954080194), ('max_iter', 100), ('solver', 'liblinear')])",0.5955558880742181,0.6470588235294118,0.654615205766101,0.6470588235294118,0.6358998884106488
Support Vector Classifier (SVC),"OrderedDict([('C', 3.317697704417197), ('kernel', 'rbf'), ('max_iter', 5468)])",0.6298817896154422,0.6274509803921569,0.6265909872721018,0.6274509803921569,0.6264765714481085
Random Forest Classifier,"OrderedDict([('bootstrap', True), ('max_depth', 43), ('min_samples_leaf', 6), ('min_samples_split', 7), ('n_estimators', 310)])",0.6433787221307796,0.6029411764705882,0.6037178507766744,0.6029411764705882,0.6031992862150277
